Namespace(batch_size=36, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', lr=0.001, momentum=0.9, no_cuda=False, num_points=1024, seed=1029, test_batch_size=2, use_sgd=True)
Using GPU : 0 in 1 devices
Train 83, loss: 1.682261, train acc: 0.854701, train avg acc: 0.778667
Test 83, loss: 1.626595, test acc: 0.888574, test avg acc: 0.829233
Train 84, loss: 1.684965, train acc: 0.851140, train avg acc: 0.774934
Test 84, loss: 1.720709, test acc: 0.878849, test avg acc: 0.823605
Train 85, loss: 1.684117, train acc: 0.853175, train avg acc: 0.777706
Test 85, loss: 1.737198, test acc: 0.877634, test avg acc: 0.810227
Train 86, loss: 1.677436, train acc: 0.853582, train avg acc: 0.778142
Test 86, loss: 1.528299, test acc: 0.879254, test avg acc: 0.827326
Train 87, loss: 1.667348, train acc: 0.860094, train avg acc: 0.788414
Test 87, loss: 1.645240, test acc: 0.869125, test avg acc: 0.819541
Train 88, loss: 1.667980, train acc: 0.861009, train avg acc: 0.786885
Test 88, loss: 1.593782, test acc: 0.888574, test avg acc: 0.837349
Train 89, loss: 1.671863, train acc: 0.857855, train avg acc: 0.781751
Test 89, loss: 1.610649, test acc: 0.873177, test avg acc: 0.809767
Train 90, loss: 1.663610, train acc: 0.859280, train avg acc: 0.788236
Test 90, loss: 1.659520, test acc: 0.888574, test avg acc: 0.833814
Train 91, loss: 1.674557, train acc: 0.855617, train avg acc: 0.779536
Test 91, loss: 1.665261, test acc: 0.881686, test avg acc: 0.817802
Train 92, loss: 1.670534, train acc: 0.857550, train avg acc: 0.781088
Test 92, loss: 1.640731, test acc: 0.885332, test avg acc: 0.833459
Train 93, loss: 1.667963, train acc: 0.861111, train avg acc: 0.786938
Test 93, loss: 1.542136, test acc: 0.856564, test avg acc: 0.807535
Train 94, loss: 1.663589, train acc: 0.861925, train avg acc: 0.793030
Test 94, loss: 1.595916, test acc: 0.891815, test avg acc: 0.834762
Train 95, loss: 1.663910, train acc: 0.859280, train avg acc: 0.784262
Test 95, loss: 1.709207, test acc: 0.878039, test avg acc: 0.828140
Train 96, loss: 1.659818, train acc: 0.863960, train avg acc: 0.795336
Test 96, loss: 1.571451, test acc: 0.863047, test avg acc: 0.822988
Train 97, loss: 1.654319, train acc: 0.861518, train avg acc: 0.787222
Test 97, loss: 1.619176, test acc: 0.890600, test avg acc: 0.836895
Train 98, loss: 1.662509, train acc: 0.860094, train avg acc: 0.786673
Test 98, loss: 1.765465, test acc: 0.881686, test avg acc: 0.820517
Train 99, loss: 1.656436, train acc: 0.860501, train avg acc: 0.787688
Test 99, loss: 1.602800, test acc: 0.897488, test avg acc: 0.823965
Train 100, loss: 1.650793, train acc: 0.867928, train avg acc: 0.800558
Test 100, loss: 1.670231, test acc: 0.888979, test avg acc: 0.841064
Train 101, loss: 1.648764, train acc: 0.871388, train avg acc: 0.806211
Test 101, loss: 1.571678, test acc: 0.885737, test avg acc: 0.837151
Train 102, loss: 1.646863, train acc: 0.866707, train avg acc: 0.800825
Test 102, loss: 1.673265, test acc: 0.875608, test avg acc: 0.811314
Train 103, loss: 1.636884, train acc: 0.874135, train avg acc: 0.808174
Test 103, loss: 1.611905, test acc: 0.883712, test avg acc: 0.825209
Train 104, loss: 1.638835, train acc: 0.874542, train avg acc: 0.809009
Test 104, loss: 1.675641, test acc: 0.897083, test avg acc: 0.842924
Train 105, loss: 1.650183, train acc: 0.865283, train avg acc: 0.794599
Test 105, loss: 1.551222, test acc: 0.879660, test avg acc: 0.837302
Train 106, loss: 1.641214, train acc: 0.867114, train avg acc: 0.799059
Test 106, loss: 1.578381, test acc: 0.895867, test avg acc: 0.858715
Train 107, loss: 1.636050, train acc: 0.869353, train avg acc: 0.802370
Test 107, loss: 1.620658, test acc: 0.886953, test avg acc: 0.835634
Train 108, loss: 1.630444, train acc: 0.873626, train avg acc: 0.809241
Test 108, loss: 1.462993, test acc: 0.876823, test avg acc: 0.835733
Train 109, loss: 1.630513, train acc: 0.870676, train avg acc: 0.802390
